#mouse chromosome lengths
#taken from http://www.ncbi.nlm.nih.gov/projects/genome/assembly/grc/mouse/data/
#GRCm38.p2
Chromosome	loc	size
chr1	195471971	0
chr2	182113224	0
chr3	160039680	0
chr4	156508116	0
chr5	151834684	0
chr6	149736546	0
chr7	145441459	0
chr8	129401213	0
chr9	124595110	0
chr10	130694993	0
chr11	122082543	0
chr12	120129022	0
chr13	120421639	0
chr14	124902244	0
chr15	104043685	0
chr16	98207768	0
chr17	94987271	0
chr18	90702639	0
chr19	61431566	0
chrX	171031299	0
chrY	91744698	0
chr1	1	0
chr2	1	0
chr3	1	0
chr4	1	0
chr5	1	0
chr6	1	0
chr7	1	0
chr8	1	0
chr9	1	0
chr10	1	0
chr11	1	0
chr12	1	0
chr13	1	0
chr14	1	0
chr15	1	0
chr16	1	0
chr17	1	0
chr18	1	0
chr19	1	0
chrX	1	0
chrY	1	0
